country,beer_servings,spirit_servings,wine_servings,Total Alcohol,Rainfall,Rainfall 2,unemployment rate,Population,GDP,Literacy,Temp,Region,Island
Albania,89,132,54,4.9,1053.235184,41.46597452,16.10000038,2893654,13277963807,97.55390167,11.26980007,Europe,0
Algeria,25,0,14,0.7,81.97354877,3.227306812,9.5,38934334,2.14E+11,79.60839844,22.57579114,North Africa,0
Andorra,245,138,312,12.4,808,31.8110408,2.9,72786,3712000000,99.99999,1.666667,Europe,0
Angola,217,57,45,5.9,991.3056834,39.02780389,26,24227524,1.27E+11,71.16416168,21.51093269,Sub-Saharan Africa,0
Antigua & Barbuda,102,128,45,4.9,723,28.4645823,11,90900,1220976000,98.94999695,26.83333,Caribbean,1
Argentina,193,25,221,8.3,559.0458708,22.00969184,8.199999809,42980026,5.30E+11,98.08997345,14.21522492,South America,0
Armenia,21,179,11,3.8,502.2817688,19.77488347,17.10000038,3006154,11644438423,99.76841736,6.374361625,Central Asia,0
Australia,261,72,212,10.4,473.0914998,18.62565966,6,23464086,1.45E+12,98.32187389,21.50667634,Pacific,1
Austria,279,75,191,9.7,1161.183869,45.71592504,5,8541575,4.37E+11,98,6.186012748,Europe,0
Azerbaijan,21,46,5,1.3,433.8832408,17.08202658,5.199999809,9535079,75198010965,99.8052597,12.22434447,Central Asia,0
Bahamas,122,176,51,6.3,1280.083659,50.39702166,15.39999962,383054,8510500000,95.5,25.06333351,Caribbean,1
Bahrain,42,63,7,2,3,0.1181103,3.900000095,1361930,33851063830,95.71726227,29,Middle East,1
Barbados,143,173,36,6.3,1310,51.574831,12,283380,4354500000,99.7,29.8,Caribbean,1
Belarus,142,373,42,14.4,610.0667379,24.01838848,5.900000095,9483000,76103961203,99.72203827,6.294930099,Europe,0
Belgium,295,84,212,10.5,874.297532,34.42118126,8.5,11231213,5.31E+11,99,9.514241274,Europe,0
Belize,263,114,8,6.8,2089.264303,82.25454454,11.5,351706,1717861750,82.77681732,25.06433296,Latin America,0
Benin,34,4,13,1.1,1034.26789,40.71923026,1,10598482,9575356735,38.44713974,27.46155267,Sub-Saharan Africa,0
Bhutan,23,0,0,0.4,1780.459891,70.09688395,2.799999952,765008,1958819915,63.90681839,8.57504293,South Asia,0
Bolivia,167,41,8,3.8,1095.559801,43.13229892,2.700000048,10561887,32996187988,95.141922,20.97503004,Latin America,0
Bosnia-Herzegovina,76,173,8,4.6,1071.757288,42.1951916,27.89999962,3817554,18521476055,98.48576355,9.016531835,Europe,0
Botswana,173,35,35,5.4,394.4757757,15.53055074,18.20000076,2219937,15880195735,88.22441101,21.47853885,Sub-Saharan Africa,0
Brazil,245,145,16,7.2,1762.970993,69.40834429,6.800000191,206077898,2.42E+12,92.58680725,24.91577183,South America,0
Brunei,31,2,1,0.6,2640,103.937064,6.9,417394,16100000000,90.27,27,Middle East,0
Bulgaria,231,252,94,10.3,602.8437065,23.73401701,11.60000038,7223938,56717054674,98.38858032,10.39676164,Europe,0
Burkina Faso,25,7,7,4.3,774.2867503,30.48374679,3.099999905,17589198,12549126616,37.74670029,28.17636051,Sub-Saharan Africa,0
Burundi,88,0,0,6.3,1262.812,49.71703472,6.900000095,10816860,3093647227,85.49609375,20.26609974,Sub-Saharan Africa,0
Cabot Verde,144,56,16,4,1356.081776,53.38907513,9.199999809,513906,1871187071,88.46542358,26.29971557,Sub-Saharan Africa,1
Cambodia,57,65,1,2.2,1918.677856,75.53853906,0.400000006,15328136,16777820333,78.34593964,26.93950004,East Asia,0
Cameroon,147,1,4,5.8,1613.071915,63.5068026,4.300000191,22773014,32050817633,74.98558044,24.52785039,Sub-Saharan Africa,0
Canada,240,122,100,8.2,457.4690533,18.01060238,6.900000095,35543658,1.78E+12,99,-7.144579613,North America,0
Central African Republic,17,2,1,1.8,1354.6681,53.33341856,7.400000095,4804316,1691091492,36.75260925,24.83925494,Sub-Saharan Africa,0
Chad,15,1,1,0.4,330.5056701,13.01204128,7,13587053,13922223234,40.01824188,26.65074126,Sub-Saharan Africa,0
Chile,130,124,172,7.6,631.1701657,24.84923254,6.400000095,17762647,2.59E+11,96.62754822,8.369828303,South America,0
China,79,192,8,5,574.7739383,22.62890743,4.699999809,1364270000,1.04E+13,96.35745239,6.325663982,East Asia,0
Colombia,159,76,3,4.2,2618.585183,103.0939605,10.10000038,47791393,3.78E+11,94.57705688,24.40381182,South America,0
Comoros,1,3,1,0.1,1846.394043,72.69271811,6.5,769991,623751044.5,78.13739014,23.98699951,Sub-Saharan Africa,1
Congo,76,1,9,1.7,1635.051457,64.37213937,6.5,4504962,14177437627,79.31117249,24.52032734,Sub-Saharan Africa,0
