"LotFrontage","MasVnrArea","BsmtUnfSF","LowQualFinSF","GrLivArea","BedroomAbvGr","KitchenAbvGr","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","Age","SinceReMod","LogSalePrice","LogLotArea","BsmtBath","bath","ExtraRms","TotalBsmtFinsh","X2ndFlr"
65,196,150,0,1710,3,1,0,2,548,0,61,0,0,0,0,0,5,5,12.247694320221,9.04192172035122,1,2.5,4,706,"1"
80,0,284,0,1262,3,1,1,2,460,298,0,0,0,0,0,0,31,31,12.109010932687,9.16951837745593,0.5,2,2,978,"0"
68,162,434,0,1786,3,1,1,2,608,0,42,0,0,0,0,0,7,6,12.3171666930358,9.32812340763257,1,2.5,2,486,"1"
60,0,540,0,1717,3,1,1,3,642,0,35,272,0,0,0,0,91,36,11.8493977015914,9.16429643347478,1,1,3,216,"1"
84,350,490,0,2198,4,1,1,3,836,192,84,0,0,0,0,0,8,8,12.4292161968444,9.56521369396829,1,2.5,4,655,"1"
85,0,64,0,1362,1,1,0,2,480,40,30,0,320,0,0,700,16,14,11.870599909242,9.55499334068759,1,1.5,3,732,"1"
75,186,317,0,1694,3,1,1,2,636,255,57,0,0,0,0,0,3,2,12.6346030265693,9.21870528830781,1,2,3,1369,"0"
51,0,952,0,1774,2,2,2,2,468,90,0,205,0,0,0,0,77,58,11.7745202026587,8.71931737550637,0,2,4,0,"1"
50,0,140,0,1077,2,2,2,1,205,0,4,0,0,0,0,0,69,58,11.6784399034478,8.91193433616143,1,1,1,851,"0"
70,0,134,0,1040,3,1,0,1,384,0,0,0,0,0,0,0,43,43,11.7714361601217,9.32366905728319,1,1,1,906,"0"
85,286,177,0,2324,4,1,2,3,736,147,21,0,0,0,0,0,1,0,12.7512996960135,9.38630845479796,1,3,6,998,"1"
91,306,1494,0,1494,3,1,1,3,840,160,33,0,0,0,0,0,1,0,12.5407575715773,9.27350294693382,0,2,3,0,"0"
51,0,832,0,854,2,1,0,2,576,48,112,0,0,0,0,0,78,6,11.7905572015685,8.71931737550637,0,1,2,0,"0"
72,0,0,0,1296,2,2,0,2,516,0,0,0,0,0,0,500,39,39,11.4075649493124,9.28646773236373,0,2,2,0,"0"
66,0,468,0,1114,3,1,0,2,576,0,102,0,0,0,0,0,4,4,11.9766594812024,9.52478608169718,1,1.5,2,646,"0"
70,0,525,0,1339,3,1,0,1,294,0,0,0,0,0,0,0,51,44,11.8422292121128,8.93062646917358,0,1,2,504,"0"
101,380,1158,0,2376,4,1,1,3,853,240,154,0,0,0,0,0,1,0,12.6925031124614,9.5620530240851,0,3.5,4,0,"1"
